Name;Console;ID
A.E.;Atari5200;91329;11 KB
Activision-Decathlon-The;Atari5200;91330;12 KB
Asteroids;Atari5200;91331;5 KB
Astro-Chase;Atari5200;91332;10 KB
Astrogrover;Atari5200;91333;13 KB
Atari-PAM-Diagnostics;Atari5200;91335;7 KB
Atari-PAM-System-Test;Atari5200;91336;5 KB
Atari-PAM-Petes-Test;Atari5200;91334;2 KB
Ballblazer;Atari5200;91337;18 KB
Barroom-Baseball;Atari5200;91338;17 KB
Battlezone;Atari5200;91339;10 KB
Battlezone--Alt-;Atari5200;91340;10 KB
Beamrider;Atari5200;91341;11 KB
Behind-Jaggi-Lines!;Atari5200;91342;24 KB
BerZerk;Atari5200;91343;12 KB
Black-Belt;Atari5200;91344;11 KB
Blaster;Atari5200;91345;13 KB
Blue-Print;Atari5200;91346;11 KB
Boogie;Atari5200;91347;1 KB
Bounty-Bob-Strikes-Back!;Atari5200;91348;33 KB
Buck-Rogers-Planet-of-Zoom;Atari5200;91349;10 KB
Buck-Rogers-Planet-of-Zoom--Alt-;Atari5200;92433;9 KB
Carol-Shaws-River-Raid;Atari5200;91350;7 KB
Castle-Blast;Atari5200;91351;7 KB
Castle-Crisis;Atari5200;91352;20 KB
Centipede;Atari5200;91353;9 KB
Choplifter!;Atari5200;91354;11 KB
Congo-Bongo;Atari5200;91355;12 KB
Countermeasure;Atari5200;91356;11 KB
David-Cranes-Pitfall-II-Lost-Caverns;Atari5200;91357;11 KB
Defender;Atari5200;91358;9 KB
Dig-Dug;Atari5200;91359;12 KB
Dreadnaught-Factor-The;Atari5200;91360;7 KB
Final-Legacy;Atari5200;91361;13 KB
Frisky-Tom;Atari5200;91362;9 KB
Frogger;Atari5200;91363;6 KB
Frogger-II-Threeedeep!;Atari5200;91364;9 KB
Galaxian;Atari5200;91365;6 KB
Galaxian--Alt-;Atari5200;91366;6 KB
Gorf;Atari5200;91367;8 KB
Gremlins;Atari5200;91368;15 KB
Gyruss;Atari5200;91369;12 KB
Gyruss--Alt-;Atari5200;92434;12 KB
H.E.R.O.;Atari5200;91370;9 KB
James-Bond-007;Atari5200;91371;10 KB
Joust;Atari5200;91372;12 KB
Jr.-Pac-Man;Atari5200;91373;10 KB
Jungle-Hunt;Atari5200;91374;12 KB
K-Razy-Shoot-Out;Atari5200;91375;6 KB
Kaboom!;Atari5200;91376;4 KB
Kangaroo;Atari5200;91377;10 KB
Keystone-Kapers;Atari5200;91378;7 KB
Koffi-Yellow-Kopter;Atari5200;91379;15 KB
Last-Starfighter-The;Atari5200;91380;13 KB
Looney-Tunes-Hotel;Atari5200;91381;9 KB
Mario-Bros.;Atari5200;91382;12 KB
Mario-Bros.--Alt-;Atari5200;92435;12 KB
Meebzork;Atari5200;91383;15 KB
MegaMania;Atari5200;91384;6 KB
Meteorites;Atari5200;91385;7 KB
Microgammon-SB;Atari5200;91386;7 KB
Millipede;Atari5200;91387;12 KB
Miner-2049er-Starring-Bounty-Bob;Atari5200;91388;12 KB
Miniature-Golf;Atari5200;91389;7 KB
Missile-Command;Atari5200;91390;5 KB
Montezumas-Revenge-Featuring-Panama-Joe;Atari5200;91391;10 KB
Moon-Patrol;Atari5200;91392;12 KB
Mountain-King;Atari5200;91393;7 KB
Mr.-Do!s-Castle;Atari5200;91394;7 KB
Ms.-Pac-Man;Atari5200;91395;10 KB
Pac-Man;Atari5200;91396;8 KB
Pengo;Atari5200;91397;11 KB
Pitfall!;Atari5200;91398;6 KB
Pole-Position;Atari5200;91399;12 KB
Pole-Position;Atari5200;91400;12 KB
Popeye;Atari5200;91401;12 KB
Q-bert;Atari5200;91402;6 KB
QIX;Atari5200;91403;7 KB
Quest-for-Quintana-Roo;Atari5200;91404;11 KB
RealSports-Baseball;Atari5200;91405;17 KB
RealSports-Basketball;Atari5200;91406;9 KB
RealSports-Basketball--1982-11-05-;Atari5200;91407;5 KB
RealSports-Basketball--1983-10-31-;Atari5200;91408;9 KB
RealSports-Football;Atari5200;91409;11 KB
RealSports-Soccer;Atari5200;91410;7 KB
RealSports-Tennis;Atari5200;91411;7 KB
Rescue-on-Fractalus!;Atari5200;91412;24 KB
Road-Runner;Atari5200;91413;8 KB
Robotron-2084;Atari5200;91414;11 KB
Space-Dungeon;Atari5200;91415;11 KB
Space-Invaders;Atari5200;91416;6 KB
Space-Shuttle-A-Journey-Into-Space;Atari5200;91417;12 KB
Spitfire;Atari5200;91418;11 KB
Sport-Goofy;Atari5200;91419;9 KB
Star-Raiders;Atari5200;91420;7 KB
Star-Raiders--Alternate-;Atari5200;92436;7 KB
Star-Trek-Strategic-Operations-Simulator;Atari5200;91421;11 KB
Star-Trek-Strategic-Operations-Simulator--Alt-;Atari5200;92437;10 KB
Star-Wars-Return-of-the-Jedi---Death-Star-Battle;Atari5200;91422;7 KB
Star-Wars-The-Arcade-Game;Atari5200;91423;11 KB
Stargate;Atari5200;91424;11 KB
Super-Breakout;Atari5200;91425;4 KB
Super-Cobra;Atari5200;91426;6 KB
Super-Pac-Man;Atari5200;91427;12 KB
Super-Pacman--Alt-;Atari5200;91428;12 KB
Tempest;Atari5200;91429;7 KB
Tempest--AtariAge-;Atari5200;91430;17 KB
Track-and-Field;Atari5200;91431;12 KB
Vanguard;Atari5200;91432;13 KB
Wizard-of-Wor;Atari5200;91433;12 KB
Xari-Arena;Atari5200;91434;11 KB
Xevious;Atari5200;91435;15 KB
Yellow-Submarine;Atari5200;91436;1 KB
Zaxxon;Atari5200;91437;9 KB
Zenji;Atari5200;91438;7 KB
Zone-Ranger;Atari5200;91439;12 KB
3-D-Tetris;VB;84280;263 KB
Bound-High;VB;84288;302 KB
Galactic-Pinball;VB;84297;397 KB
Golf;VB;84298;516 KB
Insmouth-no-Yakata;VB;84304;200 KB
Jack-Bros.;VB;84305;360 KB
Jack-Bros.-no-Meiro-de-Hiihoo!;VB;84306;408 KB
Mario-Clash;VB;84307;279 KB
Marios-Tennis;VB;84311;298 KB
Nesters-Funky-Bowling;VB;84312;598 KB
Niko-chan-Battle;VB;84313;319 KB
Panic-Bomber;VB;84315;288 KB
Red-Alarm;VB;84317;226 KB
Red-Alarm;VB;84316;225 KB
SD-Gundam-Dimension-War;VB;84319;332 KB
Space-Invaders-Virtual-Collection;VB;84325;261 KB
Space-Pinball;VB;84326;263 KB
Space-Squash;VB;84327;213 KB
T&E-Virtual-Golf;VB;84330;514 KB
Teleroboxer;VB;84331;387 KB
Tobidase!-Panibon;VB;84332;287 KB
V-Tetris;VB;84334;93 KB
Vertical-Force;VB;84335;373 KB
Vertical-Force;VB;84336;372 KB
Virtual-Bowling;VB;84337;324 KB
Virtual-Boy-Wario-Land;VB;84338;701 KB
Virtual-Fishing;VB;84339;257 KB
Virtual-Lab;VB;84340;41 KB
Virtual-League-Baseball;VB;84341;451 KB
Virtual-Pro-Yakyuu-95;VB;84342;600 KB
Waterworld;VB;84344;699 KB
Action-in-New-York;NES;75294
Addams-Family-The;NES;75297
Addams-Family-The-Pugsleys-Scavenger-Hunt;NES;75298
Advanced-Dungeons-&-Dragons-Dragons-of-Flame;NES;15
Adventure-Island-4;NES;32
Adventure-Island-Classic;NES;75306
Adventure-Island-Part-II-The;NES;75309
Adventures-in-the-Magic-Kingdom;NES;75311
Adventures-of-Bayou-Billy-The;NES;75312
Adventures-of-Lolo;NES;75318
Adventures-of-Lolo--Virtual-Console-;NES;75316
Adventures-of-Lolo-2;NES;75320
Adventures-of-Lolo-2--Virtual-Console-;NES;75321
Adventures-of-Lolo-3;NES;75323
Adventures-of-Musashi-The;NES;24
Adventures-of-Rad-Gravity-The;NES;75327
Adventures-of-Valecule-The;NES;27
Air-Fortress;NES;75331
Airwolf;NES;44
Airwolf--Acclaim-;NES;75335
Akumajyou-Densetsu;NES;45
Aladdin;NES;75345
Alfred-Chicken;NES;75350
Alien-3;NES;75351
Alpha-Mission;NES;75353
Altered-Beast;NES;2864
American-Dream;NES;2866
Antarctic-Adventure;NES;2868
Anticipation;NES;75370
Arch-Rivals-A-Basketbrawl!;NES;75376
Armadillo;NES;2870
Armed-Dragon-Fantasy-Villgust;NES;60
Asterix;NES;75413
Astro-Fang-Super-Machine;NES;62
Astyanax;NES;75417
Athletic-World;NES;75420
Attack-Animal-Academy;NES;67
Attack-of-the-Killer-Tomatoes;NES;75424
Bad-Dudes-vs.-Dragon-Ninja;NES;75446
Balloon-Fight;NES;75454
Balloon-Fight--Virtual-Console-;NES;75457
Banana-Prince;NES;77
Barbie;NES;75467
Barker-Bills-Trick-Shooting;NES;75473
Baseball;NES;83
Baseball--GameCube-Edition-;NES;75475
Batman-Returns;NES;75488
Batman-Return-of-the-Joker;NES;75484
Batman-The-Video-Game;NES;75486
Battle-of-Olympus-The;NES;75499
BattleCity--Namcot-Collection-Namco-Museum-Archives-Vol-2-;NES;75503
Battleship;NES;75504
Battletoads;NES;75505
Battletoads-Double-Dragon;NES;75508
Beauty-and-the-Beast;NES;75511
Best-of-the-Best-Championship-Karate;NES;75515
Bigfoot;NES;75523
Bio-Miracle-Baby-Upa!!;NES;109
Bio-Warrior-Dan-The-Inkliezar-Battle;NES;112
Bionic-Commando;NES;75534
Blades-of-Steel;NES;75544
Blades-of-Steel--Virtual-Console-;NES;75543
Blaster-Master;NES;75545
Blaster-Master--Virtual-Console-;NES;75547
Blue-Shadow;NES;75556
Blues-Brothers-The;NES;75557
Boulder-Dash;NES;75569
Bram-Stokers-Dracula;NES;75573
Bubble-Bobble;NES;75578
Bubble-Bobble--Virtual-Console-;NES;75579
Bucky-OHare;NES;75582
Bugs-Bunny-Blowout-The;NES;75586
Burai-Fighter;NES;75589
Cadillac;NES;2872
California-Games;NES;75598
Capcoms-Gold-Medal-Challenge-92;NES;75608
Captain-Planet-and-the-Planeteers;NES;75611
Captain-Silver;NES;2874
Captain-Skyhawk;NES;75613
Captain-Tsubasa-Vol.-II-Super-Striker;NES;2876
Castelian;NES;75617
Castle-Quest;NES;2878
Castlevania;NES;75619
Castlevania--Virtual-Console-;NES;75622
Castlevania-II-Simons-Quest;NES;75624
Castlevania-III-Draculas-Curse;NES;75631
Castlevania-III-Draculas-Curse--USA-Wii-Virtual-Console-Wii-U-Virtual-Console-;NES;75630
Castlevania-III-Draculas-Curse--Wii-Virtual-Console-;NES;75629
Championship-Rally;NES;75639
Chaos-World;NES;165
Chaos-World;NES;166
Chessmaster-The;NES;75648
Chester-Field;NES;169
Chip-n-Dale-Rescue-Rangers;NES;75658
Chip-n-Dale-Rescue-Rangers-2;NES;75662
Choujin-Sentai-Jetman;NES;175
Chronicle-of-the-Radia-War;NES;177
Chuuka-Taisen;NES;180
City-Connection;NES;75685
City-Connection--Virtual-Console-;NES;75687
Clu-Clu-Land;NES;187
Clu-Clu-Land--GameCube-Edition-;NES;75692
Clu-Clu-Land--Virtual-Console-;NES;75693
Cobra-Triangle;NES;75696
Cocoron;NES;190
Columbus-Golden-Dawn;NES;2880
Contra;NES;2881
Contra;NES;387
Corvette-ZR-1-Challenge;NES;75711
Cosmic-Epsilon;NES;2883
Cosmo-Genesis;NES;208
Cosmo-Police-Galivan;NES;210
Crackout;NES;75719
Crisis-Force;NES;2885
Dai-Senryaku;NES;219
Dans-Dodgeball;NES;2938
Dans-Dodgeball-2;NES;2940
Danny-Sullivans-Indy-Heat;NES;75744
Dark-Lord;NES;2887
Darkman;NES;75746
Darkwing-Duck;NES;75747
David-Cranes-A-Boy-and-His-Blob-Trouble-on-Blobolonia;NES;75760
Days-of-Thunder;NES;75762
Deep-Dungeon-IV---The-Black-Sorcerer;NES;232
Defender-of-the-Crown;NES;75769
Destiny-of-an-Emperor-II-The-Story-of-Zhuge-Liang;NES;242
Devil-World;NES;75781
